Padrón de Mercaderías;;;;;;
;;;;;;
Fecha de Emision: 26/11/2025 Hora: 10:16;;;;;;
Estados: Activa;;;;;;
Incluyendo Mercaderías sin Fabricante;;;;;;
;;;;;;
Código;Código de Barras;Nombre;Unidad Base;Fabricante;Marca;Tipo Producto
1030;;CORRAL P/PERRO - 8 PANELES - 75 X 61 CM;;DISHER LTDA;JBC PET SUP;Mercadería / Simple
10302599;6953182709633;CAMA MPETS - OLERON OVAL 99X60X16 CM XXL - GRIS - 10302599;;PET CARE;MPETS;Mercadería / Simple
10302699;695318709503;MPETS-OLERON OVAL CAMA 75X52X16 CM - XL GRIS - 10302699;;PET CARE;MPETS;Mercadería / Simple
10305099;695318271135;MPETS-OLERON OVAL CAMA 75X52X16 CM - XL MARRON - 10305099;;PET CARE;MPETS;Mercadería / Simple
10305199;6953182711742;MPETS-OLERON OVAL CAMA 99X60X16 CM - XXL MARRON - 10305199;;PET CARE;MPETS;Mercadería / Simple
10305599;6953182711780;MPETS-OLERON OVAL CAMA 75X52X16 CM - XL VERDE - 10305599;;PET CARE;MPETS;Mercadería / Simple
10305699;6953182711797;CAMA MPETS - OLERON OVAL 99X60X16 CM XXL - VERDE - 10305699;;PET CARE;MPETS;Mercadería / Simple
10309208;6953182716723;CAMA M-PETS - SHETLAND OVAL - 88x58 cm - XL - NEGRO - 10309208;;PET CARE;MPETS;Mercadería / Simple
10309308;6953182716730;CAMA M-PETS - SHETLAND OVAL - 97x65 cm - XXL - NEGRO - 10309308;;PET CARE;MPETS;Mercadería / Simple
10309408;6953182716747;CAMA M-PETS - SHETLAND OVAL - 100x70 cm - XXXL - NEGRO - 10309408;;PET CARE;MPETS;Mercadería / Simple
10310;7790187341739;ROYAL CANIN PERRO POODLE (ADULT) 3 KG;;WINDIES;ROYAL CANIN;Mercadería / Simple
10310112;6953182716815;CAMA M-PETS - SHETLAND OVAL - 88x58 cm - XL - BEIGE - 10310112;;PET CARE;MPETS;Mercadería / Simple
10310212;6953182716822;CAMA M-PETS - SHETLAND OVAL - 97X65 cm - XXL - BEIGE - 10310212;;PET CARE;MPETS;Mercadería / Simple
10310312;6953182716839;CAMA M-PETS - SHETLAND OVAL - 110 X 70 cm - XXXL - BEIGE - 10310312;;PET CARE;MPETS;Mercadería / Simple
10310813;6953182716884;CAMA M-PETS - SHETLAND OVAL - 70X48 cm - M - GRIS - 10310813;;PET CARE;MPETS;Mercadería / Simple
10311113;6953182716914;CAMA M-PETS - SHETLAND OVAL - 97X65 CM - XXL - GRIS - 10311113;;PET CARE;MPETS;Mercadería / Simple
10311213;6953182716921;CAMA M-PETS - SHETLAND OVAL - 110X70 cm - XXXL - GRIS - 10311213;;PET CARE;MPETS;Mercadería / Simple
10315817;6953182717386;MPETS FROZEN COOLING MAT XS - 10315817;;PET CARE;MPETS;Mercadería / Simple
10355599;6953182730194;CAMA MPETS - SNAKE SUEDE BASKET 55X45X23 CM - M - 10355599;;PET CARE;MPETS;Mercadería / Simple
10355699;6953182730200;CAMA MPETS - SNAKE SUEDE BASKET 75X50X28 CM - L - 10355699;;PET CARE;MPETS;Mercadería / Simple
10357099;;CAMA MPETS - SNAKE SUEDE BASKET 42X35X20 CM - S - 10357099;;PET CARE;MPETS;Mercadería / Simple
10358299;6953182732501;CAMA - MPETS - MAUI BASKET - 10358299;;PET CARE;MPETS;Mercadería / Simple
10359317;6953182732709;CAMA MPETS TAHITI SOFT M - NEGRO - 10359317;;PET CARE;MPETS;Mercadería / Simple
